file_name,total_length,avg_slope,label
data_rawsample_test.sor,14.994,0.2534,Normal
sample (1).sor,5.027,8.6069,Bend
sample (10).sor,5.027,8.4052,Bend
sample (100).sor,5.027,8.3074,Bend
sample (1000).sor,25.137,0.5742,Bend
sample (1001).sor,25.137,0.7288,Bend
sample (1002).sor,25.137,0.5455,Bend
sample (1003).sor,25.137,0.7485,Bend
sample (1004).sor,25.137,0.5641,Bend
sample (1005).sor,25.137,0.7637,Bend
sample (1006).sor,25.137,0.5619,Bend
sample (1007).sor,25.137,0.7903,Bend
sample (1008).sor,25.137,0.5847,Bend
sample (1009).sor,25.137,0.7368,Bend
sample (101).sor,5.027,8.7384,Bend
sample (1010).sor,25.137,0.5435,Bend
sample (1011).sor,25.137,0.7487,Bend
sample (1012).sor,25.137,0.5578,Bend
sample (1013).sor,25.137,0.8396,Bend
sample (1014).sor,25.137,0.6337,Bend
sample (1015).sor,25.137,0.7808,Bend
sample (1016).sor,25.137,0.6367,Bend
sample (1017).sor,25.137,0.8426,Bend
sample (1018).sor,25.137,0.6508,Bend
sample (1019).sor,25.137,0.8432,Bend
sample (102).sor,5.027,8.42,Bend
sample (1020).sor,25.137,0.635,Bend
sample (1021).sor,25.137,0.8222,Bend
sample (1022).sor,25.137,0.6295,Bend
sample (1023).sor,25.137,0.8097,Bend
sample (1024).sor,25.137,0.6236,Bend
sample (1025).sor,25.137,0.815,Bend
sample (1026).sor,25.137,0.6349,Bend
sample (1027).sor,25.137,0.8015,Bend
sample (1028).sor,25.137,0.618,Bend
sample (1029).sor,25.137,0.8282,Bend
sample (103).sor,5.027,8.52,Bend
sample (1030).sor,25.137,0.6213,Bend
sample (1031).sor,25.137,0.789,Bend
sample (1032).sor,25.137,0.6069,Bend
sample (1033).sor,25.137,0.8248,Bend
sample (1034).sor,25.137,0.6594,Bend
sample (1035).sor,25.137,0.8302,Bend
sample (1036).sor,25.137,0.632,Bend
sample (1037).sor,25.137,0.8262,Bend
sample (1038).sor,25.137,0.6365,Bend
sample (1039).sor,25.137,0.8626,Bend
sample (104).sor,5.027,8.3428,Bend
sample (1040).sor,25.137,0.6697,Bend
sample (1041).sor,25.137,0.8267,Bend
sample (1042).sor,25.137,0.6427,Bend
sample (1043).sor,25.137,0.7025,Bend
sample (1044).sor,25.137,0.5402,Bend
sample (1045).sor,25.137,0.8396,Bend
sample (1046).sor,25.137,0.631,Bend
sample (1047).sor,25.137,0.7754,Bend
sample (1048).sor,25.137,0.5494,Bend
sample (1049).sor,25.137,0.724,Bend
sample (105).sor,5.027,8.5274,Bend
sample (1050).sor,25.137,0.5739,Bend
sample (1051).sor,25.137,0.8365,Bend
sample (1052).sor,25.137,0.6282,Bend
sample (1053).sor,25.137,0.8481,Bend
sample (1054).sor,25.137,0.6888,Bend
sample (1055).sor,25.137,0.7816,Bend
sample (1056).sor,25.137,0.5923,Bend
sample (1057).sor,25.137,0.8354,Bend
sample (1058).sor,25.137,0.6442,Bend
sample (1059).sor,25.137,0.7009,Bend
sample (106).sor,5.027,8.4054,Bend
sample (1060).sor,25.137,0.5474,Bend
sample (1061).sor,25.137,0.7568,Bend
sample (1062).sor,25.137,0.5823,Bend
sample (1063).sor,25.137,0.7864,Bend
sample (1064).sor,25.137,0.5762,Bend
sample (1065).sor,25.137,0.8231,Bend
sample (1066).sor,25.137,0.641,Bend
sample (1067).sor,25.137,0.8306,Bend
sample (1068).sor,25.137,0.6268,Bend
sample (1069).sor,25.137,0.7881,Bend
sample (107).sor,5.027,8.5751,Bend
sample (1070).sor,25.137,0.6233,Bend
sample (1071).sor,25.137,0.8547,Bend
sample (1072).sor,25.137,0.6506,Bend
sample (1073).sor,25.137,0.8521,Bend
sample (1074).sor,25.137,0.6703,Bend
sample (1075).sor,25.137,0.8102,Bend
sample (1076).sor,25.137,0.6133,Bend
sample (1077).sor,25.137,0.8424,Bend
sample (1078).sor,25.137,0.6474,Bend
sample (1079).sor,25.137,0.8717,Bend
sample (108).sor,5.027,8.3926,Bend
sample (1080).sor,25.137,0.6995,Bend
sample (1081).sor,25.137,0.7999,Bend
sample (1082).sor,25.137,0.6063,Bend
sample (1083).sor,25.137,0.8015,Bend
sample (1084).sor,25.137,0.6322,Bend
sample (1085).sor,25.137,0.8163,Bend
sample (1086).sor,25.137,0.6215,Bend
sample (1087).sor,25.137,0.8086,Bend
sample (1088).sor,25.137,0.606,Bend
sample (1089).sor,25.137,0.87,Bend
sample (109).sor,5.027,8.5511,Bend
sample (1090).sor,25.137,0.6593,Bend
sample (1091).sor,25.137,0.8662,Bend
sample (1092).sor,25.137,0.6682,Bend
sample (1093).sor,25.137,0.7572,Bend
sample (1094).sor,25.137,0.5442,Bend
sample (1095).sor,25.137,0.8179,Bend
sample (1096).sor,25.137,0.6142,Bend
sample (1097).sor,25.137,0.8233,Bend
sample (1098).sor,25.137,0.6194,Bend
sample (1099).sor,25.137,0.8275,Bend
sample (11).sor,5.027,8.5517,Bend
sample (110).sor,5.027,8.3109,Bend
sample (1100).sor,25.137,0.6302,Bend
sample (1101).sor,25.137,0.832,Bend
sample (1102).sor,25.137,0.6395,Bend
sample (1103).sor,25.137,0.8393,Bend
sample (1104).sor,25.137,0.6607,Bend
sample (1105).sor,25.137,0.8195,Bend
sample (1106).sor,25.137,0.6185,Bend
sample (1107).sor,25.137,0.8942,Bend
sample (1108).sor,25.137,0.7153,Bend
sample (1109).sor,25.137,0.7994,Bend
sample (111).sor,5.027,8.5096,Bend
sample (1110).sor,25.137,0.5887,Bend
sample (1111).sor,25.137,0.7088,Bend
sample (1112).sor,25.137,0.5695,Bend
sample (1113).sor,25.137,0.8187,Bend
sample (1114).sor,25.137,0.6277,Bend
sample (1115).sor,25.137,0.8306,Bend
sample (1116).sor,25.137,0.6351,Bend
sample (1117).sor,25.137,0.8097,Bend
sample (1118).sor,25.137,0.6301,Bend
sample (1119).sor,25.137,0.8369,Bend
sample (112).sor,5.027,8.383,Bend
sample (1120).sor,25.137,0.6389,Bend
sample (1121).sor,25.137,0.8053,Bend
sample (1122).sor,25.137,0.6124,Bend
sample (1123).sor,25.137,0.8024,Bend
sample (1124).sor,25.137,0.598,Bend
sample (1125).sor,25.137,0.813,Bend
sample (1126).sor,25.137,0.6359,Bend
sample (1127).sor,25.137,0.802,Bend
sample (1128).sor,25.137,0.6004,Bend
sample (1129).sor,25.137,0.8414,Bend
sample (113).sor,5.027,8.5231,Bend
sample (1130).sor,25.137,0.6415,Bend
sample (1131).sor,25.137,0.7917,Bend
sample (1132).sor,25.137,0.6021,Bend
sample (1133).sor,25.137,0.8053,Bend
sample (1134).sor,25.137,0.6003,Bend
sample (1135).sor,25.137,0.7395,Bend
sample (1136).sor,25.137,0.5417,Bend
sample (1137).sor,25.137,0.736,Bend
sample (1138).sor,25.137,0.5361,Bend
sample (1139).sor,25.137,0.8169,Bend
sample (114).sor,5.027,8.2681,Bend
sample (1140).sor,25.137,0.6178,Bend
sample (1141).sor,25.137,0.7475,Bend
sample (1142).sor,25.137,0.5544,Bend
sample (1143).sor,25.137,0.7841,Bend
sample (1144).sor,25.137,0.5857,Bend
sample (1145).sor,25.137,0.7586,Bend
sample (1146).sor,25.137,0.5626,Bend
sample (1147).sor,25.137,0.7839,Bend
sample (1148).sor,25.137,0.5869,Bend
sample (1149).sor,25.137,0.7755,Bend
sample (115).sor,5.027,8.6479,Bend
sample (1150).sor,25.137,0.5671,Bend
sample (1151).sor,25.137,0.6959,Bend
sample (1152).sor,25.137,0.5212,Bend
sample (1153).sor,25.137,0.7895,Bend
sample (1154).sor,25.137,0.5969,Bend
sample (1155).sor,25.137,0.7373,Bend
sample (1156).sor,25.137,0.5541,Bend
sample (1157).sor,25.137,0.7522,Bend
sample (1158).sor,25.137,0.589,Bend
sample (1159).sor,25.137,0.7838,Bend
sample (116).sor,5.027,8.3408,Bend
sample (1160).sor,25.137,0.5838,Bend
sample (1161).sor,25.137,0.7734,Bend
sample (1162).sor,25.137,0.5811,Bend
sample (1163).sor,25.137,0.765,Bend
sample (1164).sor,25.137,0.5762,Bend
sample (1165).sor,25.137,0.7741,Bend
sample (1166).sor,25.137,0.5728,Bend
sample (1167).sor,25.137,0.7686,Bend
sample (1168).sor,25.137,0.5619,Bend
sample (1169).sor,25.137,0.7476,Bend
sample (117).sor,5.027,8.6652,Bend
sample (1170).sor,25.137,0.5517,Bend
sample (1171).sor,25.137,0.76,Bend
sample (1172).sor,25.137,0.5545,Bend
sample (1173).sor,25.137,0.7596,Bend
sample (1174).sor,25.137,0.5584,Bend
sample (1175).sor,25.137,0.8006,Bend
sample (1176).sor,25.137,0.5849,Bend
sample (1177).sor,25.137,0.7693,Bend
sample (1178).sor,25.137,0.5718,Bend
sample (1179).sor,25.137,0.6474,Bend
sample (118).sor,5.027,8.389,Bend
sample (1180).sor,25.137,0.5427,Bend
sample (1181).sor,25.137,0.7835,Bend
sample (1182).sor,25.137,0.591,Bend
sample (1183).sor,25.137,0.7476,Bend
sample (1184).sor,25.137,0.5669,Bend
sample (1185).sor,25.137,0.7323,Bend
sample (1186).sor,25.137,0.5369,Bend
sample (1187).sor,25.137,0.7804,Bend
sample (1188).sor,25.137,0.579,Bend
sample (1189).sor,25.137,0.808,Bend
sample (119).sor,5.027,8.5688,Bend
sample (1190).sor,25.137,0.6207,Bend
sample (1191).sor,25.137,0.7558,Bend
sample (1192).sor,25.137,0.5694,Bend
sample (1193).sor,25.137,0.7562,Bend
sample (1194).sor,25.137,0.5578,Bend
sample (1195).sor,25.137,0.7304,Bend
sample (1196).sor,25.137,0.5427,Bend
sample (1197).sor,25.137,0.787,Bend
sample (1198).sor,25.137,0.5852,Bend
sample (1199).sor,25.137,0.7811,Bend
sample (12).sor,5.027,8.3066,Bend
sample (120).sor,5.027,8.3579,Bend
sample (1200).sor,25.137,0.589,Bend
sample (1201).sor,25.137,0.8008,Bend
sample (1202).sor,25.137,0.627,Bend
sample (1203).sor,25.137,0.7703,Bend
sample (1204).sor,25.137,0.5641,Bend
sample (1205).sor,25.137,0.7426,Bend
sample (1206).sor,25.137,0.5887,Bend
sample (1207).sor,25.137,0.7754,Bend
sample (1208).sor,25.137,0.5841,Bend
sample (1209).sor,25.137,0.7401,Bend
sample (121).sor,5.027,8.5514,Bend
sample (1210).sor,25.137,0.5426,Bend
sample (1211).sor,25.137,0.7903,Bend
sample (1212).sor,25.137,0.589,Bend
sample (1213).sor,25.137,0.7982,Bend
sample (1214).sor,25.137,0.5963,Bend
sample (1215).sor,25.137,0.747,Bend
sample (1216).sor,25.137,0.5571,Bend
sample (1217).sor,25.137,0.7595,Bend
sample (1218).sor,25.137,0.5576,Bend
